id,building_name,address,building_type,room_type,area,avg_deposit,avg_monthly_rent,construction_year,road_name,sample_count,households,ground_floors,elevators,emergency_elevators,main_use_code,building_usage,heating_type,approval_date,completion_date,parking_spaces
120,건영1차,경기도 수원시 영통구 영통동 1047-1,아파트,30평형,99.96,39716.666666666664,33.333333333333336,1999,청명로 100,3,74,19,0,0,,기타,개별난방,19990218,19990218,0
121,청명마을동신,경기도 수원시 영통구 영통동 956-2,아파트,49평형,164.76,46400.0,109.75,1998,영통로 460,5,80,20,0,0,,기타,개별난방,19980623,19980623,0
122,myown,경기도 수원시 영통구 영통동 1025-7,아파트,4평형,15.7575,666.6666666666666,52.80952380952381,2014,청명로 8,21,88,13,1,0,,기타,개별난방,20140530,20140530,0
123,인화빌딩,경기도 수원시 영통구 영통동 1021-5,아파트,3평형,12.66,1000.0,52.0,2018,영일로6번길 49,1,40,10,1,0,,기타,개별난방,20181221,20181221,0
124,청명마을대우,경기도 수원시 영통구 영통동 956-2,아파트,40평형,134.64,55977.77777777778,10.0,1998,영통로 460,9,80,20,0,0,,기타,개별난방,19980623,19980623,0
125,청명마을동신,경기도 수원시 영통구 영통동 956-2,아파트,30평형,99.87,47600.0,52.0,1998,영통로 460,9,80,20,0,0,,기타,개별난방,19980623,19980623,0
126,현대,경기도 수원시 영통구 영통동 989-2,아파트,49평형,164.89,48000.0,0,1998,매영로 366,1,80,20,0,0,,기타,개별난방,19980528,19980528,0
127,대우월드마크,경기도 수원시 영통구 영통동 996-3,아파트,35평형,116.8695,40000.0,61.0,2008,봉영로 1620,5,208,36,10,0,,기타,개별난방,20080609,20080609,0
128,신나무실미주,경기도 수원시 영통구 영통동 965-2,아파트,30평형,101.99,40185.71428571428,53.333333333333336,1999,매영로310번길 27,7,80,20,0,0,,기타,개별난방,19991229,19991229,0
129,건영1차,경기도 수원시 영통구 영통동 1047-1,아파트,25평형,84.99,26069.0,66.0,1999,청명로 100,6,74,19,0,0,,기타,개별난방,19990218,19990218,0
130,살구골마을진덕서광성지동아,경기도 수원시 영통구 영통동 988-2,아파트,49평형,164.85,70200.0,0.0,1998,봉영로 1526,5,32,16,1,0,,기타,개별난방,19980126,19980126,0
131,청명센트레빌,경기도 수원시 영통구 영통동 1166,아파트,30평형,101.9484,46200.0,0.0,2013,영통로525번길 35,5,78,20,0,0,,기타,개별난방,20130604,20130604,0
132,영통e-편한세상,경기도 수원시 영통구 영통동 987-1,아파트,25평형,84.98,29677.272727272728,35.5,2007,영통로200번길 239,11,0,0,0,0,,기타,개별난방,20070803,20070803,0
133,인화빌딩,경기도 수원시 영통구 영통동 1021-5,아파트,4평형,13.29,1000.0,52.0,2018,영일로6번길 49,2,40,10,1,0,,기타,개별난방,20181221,20181221,0
134,영통하우스토리,경기도 수원시 영통구 영통동 958-3,아파트,49평형,163.894,60000.0,0.0,2008,봉영로 1613,2,98,31,1,0,,기타,개별난방,20080602,20080602,0
135,청명마을삼성,경기도 수원시 영통구 영통동 1046-1,아파트,49평형,164.947,67000.0,0,2001,청명북로 33,1,0,2,0,0,,기타,개별난방,20011030,20011030,0
136,인화빌딩,경기도 수원시 영통구 영통동 1021-5,아파트,6평형,22.1,1000.0,65.0,2018,영일로6번길 49,2,40,10,1,0,,기타,개별난방,20181221,20181221,0
137,영통역아이파크,경기도 수원시 영통구 영통동 1012-1,오피스텔,원룸,26.08,2575.8823529411766,63.378151260504204,2017,반달로35번길 30,119,0,20,5,0,,기타,개별난방,20170926,20170926,0
138,(998-7),경기도 수원시 영통구 영통동 998-7,오피스텔,원룸,24.38,3719.3333333333335,55.144444444444446,2017,청명남로 25,90,0,15,5,0,,기타,개별난방,20170524,20170524,0
